Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2007/2008,Kindergartenstufe,Münsterlingen PSG,männlich,Schweiz,17
2007/2008,Kindergartenstufe,Münsterlingen PSG,weiblich,Ausland,7
2007/2008,Kindergartenstufe,Münsterlingen PSG,weiblich,Schweiz,17
2007/2008,Kindergartenstufe,Neunforn PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Neunforn PSG,männlich,Schweiz,6
2007/2008,Kindergartenstufe,Neunforn PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Neunforn PSG,weiblich,Schweiz,5
2007/2008,Kindergartenstufe,Nollen VSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Nollen VSG,männlich,Schweiz,39
2007/2008,Kindergartenstufe,Nollen VSG,weiblich,Schweiz,31
2007/2008,Kindergartenstufe,Nussbaumen PSG,männlich,Schweiz,7
2007/2008,Kindergartenstufe,Nussbaumen PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Nussbaumen PSG,weiblich,Schweiz,5
2007/2008,Kindergartenstufe,Oberhofen-Lengwil PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Oberhofen-Lengwil PSG,männlich,Schweiz,11
2007/2008,Kindergartenstufe,Oberhofen-Lengwil PSG,weiblich,Schweiz,4
2007/2008,Kindergartenstufe,Ottoberg PSG,männlich,Schweiz,3
2007/2008,Kindergartenstufe,Ottoberg PSG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Pfyn PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Pfyn PSG,männlich,Schweiz,8
2007/2008,Kindergartenstufe,Pfyn PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Pfyn PSG,weiblich,Schweiz,16
2007/2008,Kindergartenstufe,Rickenbach PSG,männlich,Ausland,14
2007/2008,Kindergartenstufe,Rickenbach PSG,männlich,Schweiz,13
2007/2008,Kindergartenstufe,Rickenbach PSG,weiblich,Ausland,11
2007/2008,Kindergartenstufe,Rickenbach PSG,weiblich,Schweiz,9
2007/2008,Kindergartenstufe,Roggwil PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Roggwil PSG,männlich,Schweiz,11
2007/2008,Kindergartenstufe,Roggwil PSG,weiblich,Schweiz,14
2007/2008,Kindergartenstufe,Romanshorn PSG,männlich,Ausland,38
2007/2008,Kindergartenstufe,Romanshorn PSG,männlich,Schweiz,62
2007/2008,Kindergartenstufe,Romanshorn PSG,weiblich,Ausland,40
2007/2008,Kindergartenstufe,Romanshorn PSG,weiblich,Schweiz,47
